Country,Year,,,Relative Change
Brazil,1992,519302066,Import,-99.67575347
Brazil,1992,64751735,Export,-515.0268422
India,1992,16345370678,Import,-0.150000872
India,1992,68042252505,Export,0.299296392
USA,1992,1.54E+11,Import,0.12987013
USA,1992,4.30E+11,Export,0.181395349
Japan,1992,1.66E+11,Import,-0.072289157
Japan,1992,1.37E+11,Export,-0.109489051
Brazil,1993,52281126771,Import,-0.038598936
Brazil,1993,33413633342,Export,-0.074276206
India,1993,18797190537,Import,0.09719117
India,1993,47677451834,Export,-0.015834726
USA,1993,1.34E+11,Import,-0.141791045
USA,1993,3.52E+11,Export,-0.048295455
Japan,1993,1.78E+11,Import,0.08988764
Japan,1993,1.52E+11,Export,0.013157895
Brazil,1994,54299122653,Import,0.048728186
Brazil,1994,35895471244,Export,0.028007342
India,1994,16970269592,Import,0.036038263
India,1994,48432411237,Export,-0.119445023
USA,1994,1.53E+11,Import,-0.045751634
USA,1994,3.69E+11,Export,-0.075880759
Japan,1994,1.62E+11,Import,-0.00617284
Japan,1994,1.50E+11,Export,0.006666667
Brazil,1995,51653224893,Import,0.14643552
Brazil,1995,34890134489,Export,0.214327321
India,1995,16358690559,Import,-7.741530961
India,1995,54217421728,Export,-1.508418801
USA,1995,1.60E+11,Import,0.916446541
USA,1995,3.97E+11,Export,0.853329907
Japan,1995,1.63E+11,Import,0.085889571
Japan,1995,1.49E+11,Export,-1.751677852
Brazil,1996,44089358062,Import,-0.040047968
Brazil,1996,27412225426,Export,0.198308331
Japan,1996,1.43E+11,Import,-0.020979021
Japan,1996,1.36E+11,Export,0.051470588
India,1996,13368553464,Import,0.120015096
India,1996,58228027086,Export,-0.002914979
USA,1996,1.49E+11,Import,0.093959732
USA,1996,4.10E+11,Export,0.058536585
Brazil,1997,45855047246,Import,0.599998864
Brazil,1997,21976152765,Export,0.481325393
Japan,1997,1.46E+11,Import,0.082191781
Japan,1997,1.29E+11,Export,0.209302326
India,1997,11764125238,Import,-0.24251959
India,1997,58397760569,Export,0.588145515
USA,1997,1.35E+11,Import,0.484829893
USA,1997,3.86E+11,Export,0.396373057
Brazil,1998,18342070986,Import,-0.628139083
Brazil,1998,11398472406,Export,-0.649998054
Japan,1998,1.34E+11,Import,-0.126865672
Japan,1998,1.02E+11,Export,-0.137254902
India,1998,14617156071,Import,-0.385966337
India,1998,24051379611,Export,-0.313246108
USA,1998,69547964495,Import,-0.173083306
USA,1998,2.33E+11,Export,-0.08583691
Brazil,1999,29863442631,Import,0.052989876
Brazil,1999,18807457292,Export,0.249312757
Japan,1999,1.51E+11,Import,0.132450331
Japan,1999,1.16E+11,Export,0.155939949
India,1999,20258886260,Import,0.32304823
India,1999,31585380667,Export,0.06075029
USA,1999,81585556125,Import,0.046950165
USA,1999,2.53E+11,Export,0.126482213
Brazil,2000,28280982512,Import,-0.347175521
Brazil,2000,14118518263,Export,-0.732522593
Japan,2000,1.31E+11,Import,-0.351145038
Japan,2000,97910965891,Export,-0.235816631
India,2000,13714288921,Import,-0.520043332
India,2000,29666559641,Export,-0.379127165
USA,2000,77755100817,Import,-0.324671937
USA,2000,2.21E+11,Export,-0.285067873
Brazil,2001,38099447351,Import,-0.375000267
Brazil,2001,24460651866,Export,-0.301546561
Japan,2001,1.77E+11,Import,-0.101694915
Japan,2001,1.21E+11,Export,-0.223140496
India,2001,20846313421,Import,-0.121170834
India,2001,40913958297,Export,-0.235187648
USA,2001,1.03E+11,Import,-0.194174757
USA,2001,2.84E+11,Export,-0.144366197
Brazil,2002,52386750280,Import,0.942675965
Brazil,2002,31836677325,Export,0.953940472
Japan,2002,1.95E+11,Import,0.725815391
Japan,2002,1.48E+11,Export,0.672744322
India,2002,23372278613,Import,0.902710756
India,2002,50536415932,Export,0.947143774
USA,2002,1.23E+11,Import,0.778365069
USA,2002,3.25E+11,Export,0.784461255
Brazil,2003,3003019897,Import,-0.945472187
Brazil,2003,1466382340,Export,-0.461594194
Japan,2003,53465998850,Import,-0.386827648
Japan,2003,48433840387,Export,-0.226594825
India,2003,2273871318,Import,-0.869664816
India,2003,2671164208,Export,-0.251598458
USA,2003,27261096545,Import,-0.245150425
USA,2003,70050092091,Export,-0.322286571
Brazil,2004,5842291688,Import,-0.484496459
Brazil,2004,2143255914,Export,-0.714262953
Japan,2004,74148125418,Import,-0.272139071
Japan,2004,59408697992,Export,-0.237344776
India,2004,4251377200,Import,-0.806010093
India,2004,3343225003,Export,-0.775533448
USA,2004,33944165955,Import,-0.318278635
USA,2004,92626296055,Export,-0.349508782
Brazil,2005,8672861322,Import,-0.152160025
Brazil,2005,3674104212,Export,-0.313846619
Japan,2005,94326727397,Import,-0.060144911
Japan,2005,73509042094,Export,-0.142529885
India,2005,7678030131,Import,-0.271968995
India,2005,5936007816,Export,-0.505098609
USA,2005,44747868764,Import,-0.089244244
USA,2005,1.25E+11,Export,-0.304
Brazil,2006,9992524117,Import,-0.291915337
Brazil,2006,4827209396,Export,-0.52885552
Japan,2006,1.00E+11,Import,-0.16
Japan,2006,83986277412,Export,-0.090924329
India,2006,9766216269,Import,-0.052347015
India,2006,8934277108,Export,-0.632062358
USA,2006,48741358502,Import,-0.216918681
USA,2006,1.63E+11,Export,-0.251533742
Brazil,2007,12909495161,Import,0.885040804
Brazil,2007,7380105731,Export,0.896623358
Japan,2007,1.16E+11,Import,0.748441344
Japan,2007,91622673330,Export,0.66289775
India,2007,10277448538,Import,0.930026123
India,2007,14581297367,Export,0.952952457
USA,2007,59314269712,Import,0.727635179
USA,2007,2.04E+11,Export,0.869090067
Brazil,2008,1484065187,Import,-0.003299141
Brazil,2008,762930545,Export,-0.368917924
Japan,2008,29180804078,Import,0.006374908
Japan,2008,30886209351,Export,-0.030834283
India,2008,719152916,Import,-0.247618736
India,2008,686014214,Export,-0.361080266
USA,2008,16155120431,Import,-0.009061419
USA,2008,26705626240,Export,-0.225981192
Brazil,2009,1488961327,Import,0.238997454
Brazil,2009,1044389298,Export,-0.039233139
Japan,2009,28994779143,Import,0.024823122
Japan,2009,31838563472,Export,0.06842234
India,2009,897228652,Import,-0.009450135
India,2009,933720409,Export,-0.088839381
USA,2009,16301508747,Import,-0.035699358
USA,2009,32740595499,Export,-0.16013687
Brazil,2010,1133103360,Import,0.145241556
Brazil,2010,1085363968,Export,0.192895442
Japan,2010,28275038208,Import,-0.194104507
Japan,2010,29660094464,Export,-0.092733455
India,2010,905707584,Import,0.088285452
India,2010,1016671552,Export,-0.142874258
USA,2010,16883462144,Import,-0.154202233
USA,2010,37983571968,Export,-0.105852277
Brazil,2011,968529665,Import,-0.6741261
Brazil,2011,876002206,Export,-0.396737915
Japan,2011,33763350549,Import,-0.229429972
Japan,2011,32410577501,Export,-0.2852074
India,2011,825746781,Import,-0.639094478
India,2011,1161927746,Export,-0.343230008
USA,2011,19486929714,Import,-0.148183464
USA,2011,42004219558,Export,-0.241694969
Brazil,2012,1621440791,Import,-0.447621489
Brazil,2012,1223545495,Export,-0.104106896
Japan,2012,41509675130,Import,-0.030779162
Japan,2012,41654314050,Export,-0.078892422
India,2012,1353476989,Import,-0.255354519
India,2012,1560736215,Export,-0.214704169
USA,2012,22374570453,Import,-0.171748759
USA,2012,52156428118,Export,-0.042154959
Brazil,2013,2347232533,Import,0.778759855
Brazil,2013,1350925018,Export,0.952068594
Japan,2013,42787308141,Import,0.680222799
Japan,2013,44940523792,Export,0.7401299
India,2013,1699093454,Import,0.893492816
India,2013,1895832787,Export,0.916431373
USA,2013,26217375157,Import,0.660494498
USA,2013,54355080203,Export,0.84179268
Brazil,2014,519302066,Import,-0.661975889
Brazil,2014,64751735,Export,-1.967738486
Japan,2014,13682405633,Import,-0.702084985
Japan,2014,11678698426,Export,-0.350889885
India,2014,180965659,Import,-1.301843849
India,2014,158432143,Export,-0.635911988
USA,2014,8900943102,Import,-0.200696355
USA,2014,8599371576,Export,-0.973710267
Brazil,2015,863067513,Import,-0.226760722
Brazil,2015,192166216,Export,-0.885820086
Japan,2015,23288617183,Import,-0.130460939
Japan,2015,15776635572,Export,-0.367756635
India,2015,416554689,Import,0.227609388
India,2015,259181042,Export,-1.210814447
USA,2015,10687329937,Import,-0.30001487
USA,2015,16972667973,Export,-0.265260105
Brazil,2016,1058777325,Import,-0.163162493
Brazil,2016,362390910,Export,-1.094585355
Japan,2016,26326872049,Import,-0.101706816
Japan,2016,21578597975,Export,-0.319208623
India,2016,321742931,Import,-0.235501914
India,2016,573001192,Export,-0.335540297
USA,2016,13893687844,Import,-0.160127071
USA,2016,21474839665,Export,-0.151516342
Brazil,2017,1231530073,Import,
Brazil,2017,759058693,Export,
Japan,2017,29004494373,Import,
Japan,2017,28466672513,Export,
India,2017,397514007,Import,
India,2017,765266182,Export,
USA,2017,16118443378,Import,
USA,2017,24728628807,Export,
